Image,Laptop,,,,Quality Rating,CPU,,,,,Speed Rating,Memory/Storage,,Memory Rating,GPU ,,Connectivity ,,Operating System,Display,,,,Display Rating,Weight (Ibs),Hyperlink
Name,Brand,Model,Type,Price,Lenovo and Asus?,Brand,Type,Model,Cores,Speed (GHz),,RAM (GB),SSD (GB),,Brand ,Model ,USB Ports,Other Connection,,Size (Inches),Resolution width (pixels),Resoultion height (pixels),Touchscreen,,,
laptop0,Lenovo,IdeaPad 1,Student,319.99,8,Intel,Celeron,4020,2,1.1,1,4,128,2,integrated,,Type C,Headphone jack,Windows 11,14,1366,768,No,1,3.09,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-1-14-laptop-cloud-grey-intel-celeron-128gb-emmc-ssd-4gb-ram/17195675
laptop1,Acer,Chromebook Spin 311,Student,299.99,9,MediaTek,MediaTek,8183,8,1.6,3,8,128,3,integrated,,Type C; Type A,Combo jack ,Chrome OS,11.6,1366,768,Yes,2,2.31,https://www.bestbuy.ca/en-ca/product/acer-chromebook-spin-311-11-6-touchscreen-chromebook-silver-mtk8183-128gb-emmc-8gb-ram-chrome-os/17160451
laptop2,HP,Laptop,Student,399.99,8,Intel,Processor N Series,100,4,1,1,8,512,6,integrated,,Type C; Type A,Combo jack; HDMI,Windows 11,15,1920,1080,No,3,3.51,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-jet-black-intel-n100-512-gb-ssd-8gb-ram-windows-11-home/16938172
laptop3,Asus,CX1 Chromebook,Student,429.99,9,Intel,Celeron,4500,2,1.1,1,8,64,4,integrated,,Type C; Type A,Combo jack,Chrome OS,14,1920,1080,No,2,3.24,https://www.bestbuy.ca/en-ca/product/Asus-cx1-14-chromebook-transparent-silver-intel-celeron-n4500-64gb-emmc-8gb-ram-chrome-os/16998152
laptop4,HP,Chromebook,Student,399.99,8,Intel,Celeron,4500,2,1.1,1,4,64,1,integrated,,Type C; Type A,Combo jack,Chrome OS,14,1366,768,No,1,3.22,https://www.bestbuy.ca/en-ca/product/hp-14-chromebook-mineral-silver-intel-celeron-n4500-64gb-emmc-4gb-ram-chrome-os/15604456
laptop5,Acer,Chromebook,Student,199.99,8,MediaTek,MediaTek,8183,8,1.6,3,4,64,1,integrated,,Type C,Headphone jack,Chrome OS,14,1920,1080,No,3,3.31,https://www.staples.ca/products/3058038-en-acer-chromebook-14-laptop-mtk8183-64gb-emmc-4gb-ram-chrome-os-silver
laptop6,Lenovo,IdeaPad 1i,Student,229.99,5,Intel,Pentium,5030,4,1.1,1,4,128,2,integrated,,Type C,Combo jack; HDMI,Windows 11,15.6,1366,768,No,3,3.4,https://www.staples.ca/products/3060577-en-lenovo-156-ideapad-1i-intel-n5030-128gb-4gb-ram-windows-11-with-1-year-of-microsoft-365
laptop7,Asus,Laptop,Student,369.99,7,Intel,Celeron,4020,2,1.1,1,4,64,1,integrated,,Type C; Type A,Combo jack; HDMI,Windows 11,14,1366,768,No,1,2.9,https://www.staples.ca/products/3021092-en-Asus-14-laptop-with-1-year-of-microsoft-365-intel-celeron-n4020-4gb-ddr4-ram-64gb-emmc-windows-11-home-in-s-mode
laptop8,HP,Laptop,Student,429.99,7,Intel,Processor N Series,100,4,1,1,4,128,2,integrated,,Type C; Type A,Combo jack; HDMI,Windows 11,15.6,1920,1080,No,3,3.52,https://www.staples.ca/products/3069143-en-hp-156-ufs-laptop-pc-intel-processor-n100-128-gb-ssd-4-gb-ram-windows-11-home-s
laptop9,HP,Laptop,Student,499.99,7,Intel,Core i3,1215,6,1.2,1,8,512,6,integrated,,Type C; Type A,Combo jack; HDMI,Windows 11,15.6,1920,1080,No,3,3.75,https://www.staples.ca/products/3074772-en-hp-156-laptop-intel-i3-1215u-512gb-ssd-8gb-ram-windows-11
laptop10,Acer ,Aspire,Gaming,799.99,9,AMD,Ryzen,5,4,2.8,5,16,512,7,integrated,,Type C,HDCP support,Window 11,15.6,1920,1080,No,3,3.92,https://www.bestbuy.ca/en-ca/product/acer-aspire-3-15-6-laptop-silver-amd-ryzen-5-7520u-512gb-ssd-16gb-ram-windows-11-home/16670211?source=Optiversal
laptop11,Apple,MacBook Air,Student,899.77,10,Apple,M,1,8,3.2,8,8,256,5,integrated,,"Two Thunderbolt 3/USB 4",Headphone,macOS,13.3,1440,900,no,3,2.84,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-3-w-touch-id-fall-2020-space-grey-apple-m1-chip-256gb-ssd-8gb-ram-en-open-box/15268124?source=Optiversal
