Company,Material,Thickness,Specification
Alfa Chemistry,1T-TiSe2 Crystal,,
Alfa Chemistry,2H-NbSe2 Crystal,,
Nanochemazone,3D Freestanding Graphene Foam,0.5mm,
Alfa Chemistry,3D Freestanding Graphene Foam 1cmx1cm(on Nickel),,
Alfa Chemistry,3D Freestanding Graphene Foam 1cmx1cm(substrate-free),,CAS: 7440-44-0
Alfa Chemistry,3D Graphene Foam,,
Nanochemazone,3D Graphene on Nickel/Copper Foam,,
Matexcel,"3D Multilayer Freestanding Graphene Foam, 2\""x2\""",,
Matexcel,"3D Multilayer Freestanding Graphene Foam, 2\""x2\""",,
Matexcel,"3D Multilayer Graphene Film on Nickel Foam, 2\""x2\""",,
Matexcel,"3D Multilayer Graphene Film on Nickel Foam, 2\""x2\""",,
Alfa Chemistry,A set of flexible heating components(bluetooth),,Packaging 1 Set
Alfa Chemistry,ACS Material 2 layers CVD Graphene deposited on TEM Grids Copper grid,,"Copper grid, 10pieces per box"
Alfa Chemistry,ACS Material 2 layers CVD Graphene deposited on TEM Grids Lacey Carbon,,"Carbon mesh,10 pieces per box"
Alfa Chemistry,ACS Material 3-5 layer CVD Graphene deposited on TEM Grids Copper grid,,"Copper grid,10pieces per box"
Alfa Chemistry,ACS Material 3-5 layers CVD Graphene deposited on TEM Grids Lacey Carbon,,"Carbon mesh,10 pieces per box"
Alfa Chemistry,ACS Material 6-8 layer CVD Graphene deposited on TEM Grids Copper grid,,"Copper grid,10 pieces per box"
Alfa Chemistry,ACS Material single layer CVD Graphene deposited on TEM Grids Copper grid,,"Copper grid,10 pieces per box"
Alfa Chemistry,ACS Material Single layer CVD Graphene deposited on TEM Grids Lacey Carbon,,"Carbon mesh,10 pieces per box"
Alfa Chemistry,ACS Material Single Layer Graphene Oxide TEM Support Films on Lacey Carbon,,Copper base
Adnano technologies pvt. ltd,ADG - Graphene,~5-10nm,Surface Area: 160 m2/G
Alfa Chemistry,Aminated Graphene Amino-PEG covalently linked,,Packaging 500 mg
Alfa Chemistry,Aminated Graphene Octadecylamine covalently linked,,Packaging 500 mg
Alfa Chemistry,Aminated Graphene Piperazine covalently linked,,
Alfa Chemistry,Aminated Graphene Piperazine covalently linked,,Packaging 500 mg
Nanochemazone,Aminated Graphene Quantum Dots,,
Matexcel,Aminated Graphene quantum dots N-100,,
Matexcel,Aminated Graphene quantum dots N-150,,
Matexcel,Aminated Graphene quantum dots N-200,,
Alfa Chemistry,Aminated Graphene TEPA covalently linked,,Packaging 500 mg
Adnano technologies pvt. ltd,Amine Functionalized Graphene,~2-5nm,Nh2 Contain 20%
Alfa Chemistry,Amine Functionalized Graphene Oxide,,
Matexcel,Amine Functionalized Graphene Oxide,,
Alfa Chemistry,Aqua Graphene slurry,,Packaging 1 kg
Alfa Chemistry,"B-doped Graphene Sponges (Foams, Aerogels)",,Packaging 1 piece
Alfa Chemistry,Bi2Te3 Crystal,,
Alfa Chemistry,Bilayer Graphene on SiO2/Si(Size of SiO2: 1cmx1cm),,
Alfa Chemistry,Bilayer Graphene on SiO2/Si(Size of SiO2: 2cmx2cm),,
Alfa Chemistry,Bilayer Graphene on SiO2/Si(Size of SiO2:5cmx1.5cm),,
Alfa Chemistry,Bilayer Graphene on SiO2/Si(Size of SiO2:Size of SiO2: 1.5cmx1.5cm),,
Alfa Chemistry,BioGraphene,3-5 layers,Concentration Suspended in 3 mg/mL
Alfa Chemistry,Bismuth selenide,,
Alfa Chemistry,Black Phosphorus,,CAS 50-18-0
Nanochemazone,Blue Luminescent Graphene Quantum Dots,,
Graphitene,Boron and Nitrogen co-doped Graphene Powder,1-5 atomic layer,
Alfa Chemistry,Boron Nitride (BN) Pristine Flakes in Solution,1 - 5 monolayers,
Alfa Chemistry,Boron Nitride Dispersion,1-5 Monolayers,Concentration 5.4 mg/L
Graphitene,Boron-doped Graphene Powder,1 � 5 atomic layer,
Matexcel,C60,,
Matexcel,C70,,
Matexcel,Capacitance Type Graphene,,
Matexcel,Carbon Black/Graphene Composite,,
Alfa Chemistry,"Carbon nanotube array, multi-walled, on quartz (diameter= 100nm, length=30 microns )",,
Alfa Chemistry,"Carbon nanotubes, multi-walled (diameter = ~140nm, length = ~7 microns) (>90% nanotubes)",,
Matexcel,Carbon Nanotubes/Graphene Composite,,
Matexcel,Carbon Nanotubes/Industrial Graphite Nanoplatelet Composite,,
Alfa Chemistry,Carboxyl Graphene,,
Alfa Chemistry,Carboxyl Graphene powder,0.8~1.2 nm,Packaging 1 g
Matexcel,Carboxyl Graphene quantum dot powder,,
Matexcel,Carboxyl Graphene quantum dot solution,,
Alfa Chemistry,Carboxyl Graphene Water Dispersion,,
Alfa Chemistry,Carboxylate Graphene Dispersion,0.8-1.2,"Parameters C: 2mg/ml, solvent:water"
Nanochemazone,Carboxylated Graphene Quantum Dots,,
Adnano technologies pvt. ltd,Carboxylic Functionalized Graphene,~2-5nm,COOH Contain 20%
Alfa Chemistry,CaSO4-2H2O,,
Matexcel,Chemical Reduced Graphene Oxide,,
Matexcel,Chlorine-based Graphene quantum dots,,
Matexcel,CNT Modified Graphene Aerogels,,
Alfa Chemistry,Colloidal graphite powder,,CAS 7782-42-5
Matexcel,Composite Type Graphene,,
Alfa Chemistry,Conductive Flexible TPU Filament,,Packaging 1 roll
Alfa Chemistry,Conductive graphene composite film,10-20 μm,Packaging 1 Piece
Matexcel,Conductive Graphene Dispersion,,
Alfa Chemistry,"Conductive Graphene Filament, 3D Printing Materials",,Packaging 1 roll
Matexcel,"Conductive Graphene Sheets, 8\""x4\""",,
Matexcel,"Conductive Graphene Sheets, 8\""x4\""",,
Matexcel,COOH-Functionalized Graphene,,
Alfa Chemistry,Customized heating assembly,,Packaging 1piece
Nanografi Nanotechnology Co. Ltd.,CVD Graphene,0.340 nm,
Nanografi Nanotechnology Co. Ltd.,CVD Graphene,0.340 nm,
Nanografi Nanotechnology Co. Ltd.,CVD Graphene,0.340 nm,
Alfa Chemistry,"CVD Graphene Film on Nickel 1-7 layers ,1cmx1cm",,
Alfa Chemistry,CVD Graphene Film on Nickel 5cmx5cm,,
Nanochemazone,CVD Graphene on Copper Foil,,
Alfa Chemistry,CVD Graphene on Copper Foil 10cmx10cm(3-5 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 10cmx10cm(6-8 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 10cmx10cm(Bilayer),,
Alfa Chemistry,CVD Graphene on Copper Foil 10cmx10cm(Monolayer),,
Alfa Chemistry,CVD Graphene on Copper Foil 10cmx5cm(3-5 layers),,CAS 7440-44-0
Alfa Chemistry,CVD Graphene on Copper Foil 10cmx5cm(6-8 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 10cmx5cm(Bilayer),,
Alfa Chemistry,CVD Graphene on Copper Foil 10cmx5cm(Monolayer),,CAS: 7440-44-0
Alfa Chemistry,CVD Graphene on Copper Foil 15cmx10cm(3-5 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 15cmx10cm(6-8 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 15cmx10cm(Bilayer),,CAS: 7440-44-0
Alfa Chemistry,CVD Graphene on Copper Foil 15cmx10cm(Monolayer),,
Alfa Chemistry,CVD Graphene on Copper Foil 2cmx2cm(3-5 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 2cmx2cm(6-8 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 2cmx2cm(Bilayer),,
Alfa Chemistry,CVD Graphene on Copper Foil 2cmx2cm(Monolayer),,
Alfa Chemistry,CVD Graphene on Copper Foil 30cmx20cm(3-5 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 30cmx20cm(6-8 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 30cmx20cm(Bilayer),,
Alfa Chemistry,CVD Graphene on Copper Foil 30cmx20cm(Monolayer),,
Alfa Chemistry,CVD Graphene on Copper Foil 5cmx5cm (6-7 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 5cmx5cm(3-5 layers),,
Alfa Chemistry,CVD Graphene on Copper Foil 5cmx5cm(Bilayer),,
Alfa Chemistry,CVD Graphene on Copper Foil 5cmx5cm(Monolayer),,
