Company	Element	APS	Specification
Alfa Chemistry			EC Number 231-165-9
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
Biopharma PEG Scientific Inc.			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
CD Bioparticles			
PRO-1 NANOSolutions	Ag		
Phornano holding GmbH	Ag	10 nm	0.04 mg/mL
IoLiTec	Aluminum	18nm	P(99.9%)
SkySpring Nanomaterials, Inc.	Aluminum	40-60nm	P(99.9%) spherical
SkySpring Nanomaterials, Inc.	Aluminum	40-60nm	P(99.9%) spherical
Applied Nanotech, Inc.	Aluminum	45nm	P(>99%)
Applied Nanotech, Inc.	Aluminum	45nm	P(>99%)
Malakhit LLC	Aluminum	50-200	Spherical
EPRUI Nanoparticles & Microspheres Co. Ltd	Aluminum	50nm	P(99.99%); spherical
EPRUI Nanoparticles & Microspheres Co. Ltd	Aluminum	50nm	P(99.99%); spherical
NTbase	Aluminum	50nm	P(99.99) spherical
SkySpring Nanomaterials, Inc.	Aluminum	60nm	P(99.9%) spherical
SkySpring Nanomaterials, Inc.	Aluminum	60nm	P(99.9%) spherical
Inframat Advanced Materials LLC	Aluminum	80nm	P(99+)
NovaCentrix	Aluminum	80nm	
Edgetech Industries LLC	Aluminum Oxide	30nm	P(99.9%) alpha
Phornano holding GmbH	Au	40	0.8 mg/mL
EPRUI Nanoparticles & Microspheres Co. Ltd	Bismuth	30-60nm	P>99.5%); spherical
EPRUI Nanoparticles & Microspheres Co. Ltd	Bismuth	30-60nm	P>99.5%); spherical
Specialty Materials	Boron		
Specialty Materials	Boron		
Carbodeon Ltd Oy	Carbon		P(>27%) Nanodiamond containing powder mixture
Green Technology Research Center Inc.	Carbon		
ACS Material, LLC	Carbon	10nm	Graphite; detonation; spherical
ACS Material, LLC	Carbon	10nm	Graphite; detonation; spherical
EPRUI Nanoparticles & Microspheres Co. Ltd	Carbon	20-50nm	P(99.5%)
EPRUI Nanoparticles & Microspheres Co. Ltd	Carbon	20-50nm	P(99.5%)
SkySpring Nanomaterials, Inc.	Carbon	3-4nm	P(95%), explosion-synthesized diamond
SkySpring Nanomaterials, Inc.	Carbon	3-4nm	P(93%), explosion-synthesized diamond
SkySpring Nanomaterials, Inc.	Carbon	3-4nm	P(93%), graphite, hexagonal
SkySpring Nanomaterials, Inc.	Carbon	3-4nm	P(95%), explosion-synthesized diamond
SkySpring Nanomaterials, Inc.	Carbon	3-4nm	P(93%), explosion-synthesized diamond
SkySpring Nanomaterials, Inc.	Carbon	3-4nm	P(93%), graphite, hexagonal
Yorkshire Bioscience Ltd.	Carbon	3.5nm	Nanodiamond, grey, molecular biology grade; heightened non-diamond carbon content
Yorkshire Bioscience Ltd.	Carbon	3.5nm	Nanodiamond, black, molecular biology grade
Carbodeon Ltd Oy	Carbon	3.7-4.7nm	P(>97%) Nanodiamond
Carbodeon Ltd Oy	Carbon	3.7-4.7nm	P(>97%) Nanodiamond in ethylene glycol dispersion
Carbodeon Ltd Oy	Carbon	3.7-4.7nm	P(>97%) Nanodiamond in N-methyl pyrrolidone dispersion
Carbodeon Ltd Oy	Carbon	3.7-4.7nm	P(>97%) Nanodiamond
Carbodeon Ltd Oy	Carbon	3.7-4.7nm	P(>97%) Nanodiamond in ethylene glycol dispersion
Carbodeon Ltd Oy	Carbon	3.7-4.7nm	P(>97%) Nanodiamond in N-methyl pyrrolidone dispersion
Marketech International	Carbon	30nm	Amorphous carbon
MTI Corporation	Carbon	30nm	Amorphous, P(>99)
Dynalene	Carbon	4-10nm	Nanodiamond, Sp3 content 20 wt%
Dynalene	Carbon	4-10nm	Nanodiamonds, Sp3 content 75-99 wt%
Carbodeon Ltd Oy	Carbon	4-6nm	P(>97%) Nanodiamond amine functionalized
Carbodeon Ltd Oy	Carbon	4-6nm	P(>97%) Nanodiamond
Carbodeon Ltd Oy	Carbon	4-6nm	P(>97%) Nanodiamond
