Company,Diameter,Configuration,Specification
Adnano technologies pvt. ltd,,SWCNT,>85% Carbon purity
Adnano technologies pvt. ltd,,Semiconducting,95% of nanotubes are semiconducting single-walled Carbon Nanotubes
Adnano technologies pvt. ltd,,Small Diameter SWCNT,Pure Small Diameter (0.6 � 1.2 nm) single walled Carbon Nanotubes
Adnano technologies pvt. ltd,,Metallic,~ 95% Nano Tubes are Metallic Enriched Single-Walled Carbon Nanotubes
Adnano technologies pvt. ltd,,Ultra Pure Small Diameter SWCNT,>99% carbon purity of small diamter (0.6nm-1.2 nm) SWCNT
Alfa Chemistry,,,
Alfa Chemistry,,TCNT Type 1- Carbon Nanotubes Thin Walled,"TCNT Type 1, Thin Walled"
Alfa Chemistry,,,Appearance Crystalline
Alfa Chemistry,,,EC Number 215-263-9
Alfa Chemistry,,,CAS 13463-67-7
Alfa Chemistry,,,APS <50 nm
Alfa Chemistry,,,CAS 7440-50-8
Alfa Chemistry,,,Form Powder
Alfa Chemistry,,,Chemical Name Magnesium Carbon Nanotubes
Alfa Chemistry,,,Chemical Name Silver Gold Nanotubes
Alfa Chemistry,,,Chemical Name Tin Carbon Nanotubes
Alfa Chemistry,,,Chemical Name Nickel Carbon Nanotubes
Alfa Chemistry,,,"Synonyms: Copper-graphite composite nanotubes, copper-coated CNTs, Cu-C NTs"
Alfa Chemistry,,,Chemical Name: Aluminum Carbon Nanotubes Properties
Alfa Chemistry,,,"Synonyms: Copper-graphite composite nanotubes, copper-coated CNTs, Cu-C NTs"
Alfa Chemistry,,,"Appearance white, grayish, or yellowish powder"
Alfa Chemistry,,,Chemical Name Iron oxide nanorings
Alfa Chemistry,,,Chemical Name Iron oxide nanotubes
Alfa Chemistry,,"Carbon Nanotube, Single-walled",<1% Metal Catalyst
Alfa Chemistry,,"Carbon Nanotube, Single-walled",>70 wt. % carbon basis
Alfa Chemistry,,"Carbon Nanotube, Single-walled",">70%, TGA"
Alfa Chemistry,,"Carbon Nanotube, Single-walled",?77% as carbon nanotubes
Alfa Chemistry,,"Carbon Nanotube, Single-walled",?89% Carbon Basis
Alfa Chemistry,,"Carbon Nanotube, Single-walled",?90% Carbon Basis
Alfa Chemistry,,"Carbon Nanotube, Single-walled",?95% as carbon nanotubes
Alfa Chemistry,,"Carbon Nanotube, Single-walled",?95% Carbon Basis
Alfa Chemistry,,"Carbon Nanotube, Single-walled",?98% Carbon Basis
Alfa Chemistry,,"Carbon Nanotube, Single-walled","98%, Metallic"
Alfa Chemistry,,"Carbon Nanotube, Single-walled","98%, Semiconducting"
Alfa Chemistry,,"Carbon Nanotube, Single-walled",Carbon ?85 %
Alfa Chemistry,,"Carbon Nanotube, Single-walled",Low metal content
Alfa Chemistry,,"Carbon nanotube, single-walled","solvent-based conductive ink, SWCNT"
Alfa Chemistry,,"Carbon nanotube, single-walled","conductive aqueous ink, SWCNT 1.00 mg/mL"
Alfa Chemistry,,"Carbon nanotube, single-walled","conductive aqueous ink, SWCNT 0.2 mg/mL"
Alfa Chemistry,,"Carbon nanotube, single-walled",octadecylamine functionalized
Alfa Chemistry,,"Carbon nanotube, single-walled",carboxylic acid functionalized
Alfa Chemistry,,"Carbon nanotube, single-walled",amide functionalized
Alfa Chemistry,,"Carbon nanotube, multi-walled",carboxylic acid functionalized
Alfa Chemistry,,"Carbon nanotube, single-walled",poly(ethylene glycol) functionalized
Alfa Chemistry,,"Carbon nanotube, single-walled",polyaminobenzene sulfonic acid functionalized
"Carbon Solutions, Inc.",,functionalized,Organic soluble SWNTs functionalized with ODA
"Carbon Solutions, Inc.",,functionalized,Water soluble SWNTs functionalized with PABS
"Carbon Solutions, Inc.",,functionalized,Amine functionalized SWNT
"Carbon Solutions, Inc.",,functionalized,Water soluble SWNTs functionalized with PEG
"Carbon Solutions, Inc.",,pure,As prepared
