Company,Product,Solvent,Emission Peak
Alfa Chemistry,Antibody modified upconverting nanoparticles,,"365nm, 475nm, 545nm, 660nm, 804nm"
Alfa Chemistry,Imidazole-modified Graphene quantum dots powder,,
Alfa Chemistry,Zinc Selenide /Zinc Sulphide Quantum Dots,"Toluene, IPA (customization available)",
Alfa Chemistry,"CdTe Core Type COOH Functionalized Quantum Dots, Fluorescence 610 nm (Hydrophilic)",,
Alfa Chemistry,"PbS core-type quantum dots oleic acid coated, fluorescence ?em 1600 nm, 10 mg/mL in toluene",Toluene,
Alfa Chemistry,Induim Phosphide /Zinc Sulphide-MPA-COOH Quantum Dots,,
Alfa Chemistry,"CdSeS/ZnS alloyed quantum dots kit fluorescence ?em 490-665 nm, 6 nm diameter",,
Alfa Chemistry,"CdSe/ZnS Core-shell Type Quantum Dots (PEG functionalized,?em 620 nm)",,
Alfa Chemistry,Hydroxylated graphene quantum dots,,
Alfa Chemistry,EDC Conjugation Kit for Carboxylic Cd-based Core/Shell Quantum Dots,,
Alfa Chemistry,Graphene Quantum Dot Powder(White fluorescence),,
Alfa Chemistry,SiO2 coated upconverting nanoparticles(UV light),,975-980nm
Alfa Chemistry,Mesoporous SiO2 coated upconverting (blue light),,
Alfa Chemistry,PEG modified upconverting (near-infrared light),,
Alfa Chemistry,Oil-soluble cadmium selenide CdSe quantum dots,,
Alfa Chemistry,GO quantum dots yellow(1mg/ml),,
Alfa Chemistry,"InP/ZnS quantum dots stabilized with oleylamine ligands, fluorescence ?em 530 nm, 5 mg/mL",Toluene,
Alfa Chemistry,"CdTe Core Type COOH Functionalized Quantum Dots, Fluorescence 710 nm (Hydrophilic)",,
Alfa Chemistry,CdSe ZnS Core Shell Quantum Dots,,
Alfa Chemistry,Induim Phosphide /Zinc Sulphide-PEG- COOH Quantum Dots,,
Alfa Chemistry,"CdSeS/ZnS alloyed quantum dots fluorescence ?em 630 nm, 6 nm diameter",,
Alfa Chemistry,CdSe/ZnS Core-shell Type Quantum Dots (?em 520 nm),,
Alfa Chemistry,Imidazole modified graphene quantum dot powder,,
Alfa Chemistry,SMCC Conjugation Kit for Amine Cd-based Core/Shell Quantum Dots,,
Alfa Chemistry,Graphene quantum dots green,,
Alfa Chemistry,SiO2 coated upconverting nanoparticles(green light),,975-980nm
Alfa Chemistry,SiO2 coated upconverting nanoparticles(near-infrared light),,975-980nm
Alfa Chemistry,TiO2 coated upconverting nanoparticles(UV light),,
Alfa Chemistry,Carboxyl Graphene quantum dots,water,
Alfa Chemistry,GO quantum dots(Powder),,
Alfa Chemistry,"InP/ZnS quantum dots stabilized with oleylamine ligands, fluorescence ?em 560 nm, 5 mg/mL",Toluene,
Alfa Chemistry,"Perovskite Quantum Dots (pQD 450), Fluorescence 450nm (Hydrophobic)",,
Alfa Chemistry,CdSeTe ZnS Quantum Dots,,
Alfa Chemistry,Induim Phosphide /Zinc Sulphide-PEG- NH? Quantum Dots,,
Alfa Chemistry,Zinc Oxide Quantum Dots,,
Alfa Chemistry,CdSe/ZnS Core-shell Type Quantum Dots (?em 580 nm),,
Alfa Chemistry,Imidazole modified graphene quantum dot solution,,
Alfa Chemistry,PbS core-type quantum dots,Concentration 10 mg/mL in toluene,Fluorescence ?em 1400 nm
Alfa Chemistry,Graphene quantum dots red fluorescence,,
Alfa Chemistry,SiO2 coated upconverting nanoparticles(Purple and blue light),,975-980nm
Alfa Chemistry,upconverting nanoparticles (blue light),,
Alfa Chemistry,Carboxyl Graphene quantum dots powder,,
Alfa Chemistry,Graphene quantum dots(Powder),,
Alfa Chemistry,"InP/ZnS quantum dots stabilized with oleylamine ligands, fluorescence ?em 590 nm, 5 mg/mL",Toluene,
Alfa Chemistry,"Perovskite Quantum Dots (pQD 480), Fluorescence 480nm (Hydrophobic)",,
Alfa Chemistry,Cadmuim Sulphide/Zinc Sulphide-PEG-NH? Quantum Dots,,
Alfa Chemistry,Induim Phosphide /Zinc Sulphide-PEG-COOH Quantum Dots,,
Alfa Chemistry,Lead Sulfide Quantum Dots,,
Alfa Chemistry,CdSe/ZnS Core-shell Type Quantum Dots (?em 645 nm),,
Alfa Chemistry,Mesoporous silica coated upconversion nanoparticles (yellow-green light),,
Alfa Chemistry,CdSeS/ZnS alloyed quantum dots,Concentration 1 mg/mL in H?O,Fluorescence ?em 525 nm
Alfa Chemistry,N-doped Graphene quantum dots,,
Alfa Chemistry,Sulfur Quantum Dots,Water,
Alfa Chemistry,SiO2 coated upconverting nanoparticles(yellow-green light),,975-980nm
Alfa Chemistry,PEG modified upconverting nanoparticles (green light),,
Alfa Chemistry,Water-soluble CdSe-like quantum dots (positive charge),,
Alfa Chemistry,Graphene quantum dots(C: 1mg/ml),,
Alfa Chemistry,"InP/ZnS quantum dots stabilized with oleylamine ligands, fluorescence ?em 620 nm, 5 mg/mL",Toluene,
Alfa Chemistry,"Perovskite Quantum Dots (pQD 510), Fluorescence 510nm (Hydrophobic)",,
Alfa Chemistry,"InP/ZnS quantum dots stabilized with oleylamine ligands, fluorescence ?em 530 nm, 5 mg/mL",Toluene,530 nm
Alfa Chemistry,Induim Phosphide /Zinc Sulphide-PEG-NH? Quantum Dots,,
Alfa Chemistry,Indium Phospide/Zinc Sulphide Quantum Dots,,
Alfa Chemistry,Aminated Graphene Quantum Dots,,"440 nm (reference only, actual value may vary)"
Alfa Chemistry,Nitrogen doped graphene quantum dots,,
Alfa Chemistry,Cd-based Core/Shell Quantum Dots with Streptavidin (?em 540 nm),Concentration 1 mg/mL in H?O,Fluorescence ?em 580 nm
Alfa Chemistry,Cd-based Core/Shell Quantum Dots with Streptavidin (?em 560 nm),,Fluorescence ?em 560 nm
Alfa Chemistry,Aminated graphene quantum dot N-100,,Length 10-20um
Alfa Chemistry,-NH2 modified upconverting nanoparticles(green light),,975-980nm
Alfa Chemistry,SiO2-COOH modified upconverting (red light),,
Alfa Chemistry,CdZnSenS quantum dots,,
Alfa Chemistry,Graphene quantum dots(MC: 1mg/ml),,
Alfa Chemistry,"InP/ZnS quantum dots stabilized with oleylamine ligands, fluorescence ?em 650 nm, 5 mg/mL",Toluene,
Alfa Chemistry,"Perovskite Quantum Dots (pQD 550), Fluorescence 550nm (Hydrophobic)",,
Alfa Chemistry,"InP/ZnS quantum dots stabilized with oleylamine ligands, fluorescence ?em 560 nm, 5 mg/mL",Toluene,560 nm
Alfa Chemistry,Induim Phosphide/Zinc Sulphide-PEG-NH? Quantum Dots,,
Alfa Chemistry,Zinc Selenide/Zinc Sulfide Quantum Dots,,
Alfa Chemistry,Aminated Graphene Quantum Dots Powder,Water,"440 nm (reference only, actual value may vary)"
Alfa Chemistry,No surface group upconversion nanoparticles (violet blue light),,
Alfa Chemistry,No surface group upconversion nanoparticles (yellow-green light),,
Alfa Chemistry,Cd-based Core/Shell Quantum Dots with Streptavidin (?em 580 nm),,?em 580 nm
Alfa Chemistry,Aminated graphene quantum dot N-150,,
Alfa Chemistry,"Application Up conversion noparticles have excellent optical stability. They have been widely applied in biomedicine, including in vivo bioimaging, in vivo bioimaging, biodetection, immunohistochemistry, microarray detection, photodymic therapy, and photo",,975-980nm
Alfa Chemistry,upconverting nanoparticles (UV light),,
Alfa Chemistry,CIS/CZTS/CISe/CZTSe/CIGSeCIGS quantum dots,,
Alfa Chemistry,Imidazole-modified Graphene quantum dots solution,Water,
Alfa Chemistry,Cadmuim Sulphide/Zinc Sulphide-PEG-NH? Quantum Dots,,
Alfa Chemistry,Red light perovskite quantum dots,,
Alfa Chemistry,"InP/ZnS quantum dots stabilized with oleylamine ligands, fluorescence ?em 590 nm, 5 mg/mL",Toluene,590 nm
Alfa Chemistry,PEG-COOH modified upconverting nanoparticles (Yellow green light),,975-980nm
