Company	Material	Atoms	Specification
Alfa Chemistry	Fullerene soot		
Alfa Chemistry	fullerenes C84(Purity: 98.0wt%)		
Alfa Chemistry	Fullerene Powder		
Alfa Chemistry	fullerenes C84(Purity: 99.0wt%)		
Alfa Chemistry	Fullerene C70(Purity: 98.0wt%)		
Alfa Chemistry	Fullerene C70(Purity: 99.5wt%)		
Alfa Chemistry	fullerenes C78(Purity: 98.0wt%)		
Alfa Chemistry	N-ethyl-polyamino-C60(Purity: 98-99.5%)		
Alfa Chemistry	Fullerene C60(Purity: 99.5wt%)		
Alfa Chemistry	Polyhydroxy C60		Hydroxyl quantity:18-28
Alfa Chemistry	Giant Fullerene(Purity: 95.0wt%)		
Alfa Chemistry	Fullerenes C60(Purity: 99.5wt%)		Density 1.72 g/cu cm /Solid state/
Alfa Chemistry	fullerenes C84(Purity: 95.0wt%)		
Alfa Chemistry	Carboxyl Fullerene		Specific Gravity: 1.5-1.7 g/cm3
Alfa Chemistry	fullerenes C78(Purity: 95.0wt%)		
Alfa Chemistry	Fullerene C60(Purity: 99.95wt%)		
Alfa Chemistry	fullerenes C76(Purity: 95.0wt%)		
Alfa Chemistry	fullerenes C84(Purity: 98.0wt%)		
Alfa Chemistry	Fullerene C70(Purity: 99.0wt%)		
Alfa Chemistry	Fullerenes mixtures(Purity: 98.0wt%)		CAS: 131159-39-2
Alfa Chemistry	fullerenes C76(Purity: 98.0wt%)		CAS: 131159-39-2
Alfa Chemistry	Fullerenes C60(Purity: 99.9 wt%)		Density 1.72 g/cu cm /Solid state/
Alfa Chemistry	Fullerene C60(Purity: 99.9wt%)		CAS: 131159-39-2
Alfa Chemistry	Fullerene		CAS 308068-56-6
Alfa Chemistry	Multi Walled Carbon Nanotubes		Diameter O.D (20-30 nm), I.D (5-7 nm)
Alfa Chemistry	Single-Walled Carbon Nanotubes		Diameter 1-2 nm (O.D), 0.8 -1.6 nm (I.D)
Alfa Chemistry	Polyhydroxylated fullerene		Appearance Crystalline powder
Alfa Chemistry	Aqueous dispersant for multi-walled carbon nanotubes		
Alfa Chemistry	Fullerene C76		Appearance Solid
Alfa Chemistry	Fullerene C78		Appearance Solid
Alfa Chemistry	[6,6]-Phenyl C61-butyric Acid 2,5-dibromo-3- ethylthiophene Ester		Absorption Wavelength 341 nm
Alfa Chemistry	[6,6]-Phenyl C61-butyric Acid 3-ethylthiophene Ester		Absorption Wavelength 341 nm
Alfa Chemistry	[60]PCB-A		
Alfa Chemistry	[60]PCBM		
Alfa Chemistry	[60]PCBM		
Alfa Chemistry	[60]PCBM		
Alfa Chemistry	[60]ThCBM		
Alfa Chemistry	[70]PCBM		
Alfa Chemistry	[84]PCBM		
Alfa Chemistry	Bis[60]PCBM		
Alfa Chemistry	Chemically Modified Fullerenes		
Alfa Chemistry	Fullerene C60 Purified		
Alfa Chemistry	Fullerene C60, Ultra pure, Vacuum oven dried		
Alfa Chemistry	Fullerene powder		
Alfa Chemistry	Fullerene-C60		
Alfa Chemistry	Fullerene-C70		
Alfa Chemistry	Metallofullerene		
Alfa Chemistry	Pure fullerenes		
Alfa Chemistry	Sublimed Fullerenes		
Alfa Chemistry	Graphene on Copper Foil		Grain Size >40 μm
Alfa Chemistry	Single Layer Graphene (SLG) Nanopowder		
Alfa Chemistry	[5,6]-Fullerene-C70 (98%)		CAS 115383-22-7
Alfa Chemistry	[5,6]-Fullerene-C70 (?99%)		
Alfa Chemistry	Fullerite		CAS 131159-39-2
Alfa Chemistry	Fullerene-C76		
Alfa Chemistry	N-Methylfulleropyrrolidine		
Alfa Chemistry	(1,2-Methanofullerene C60)-61-carboxylic acid		
Alfa Chemistry	[6,6]-Phenyl C61 butyric acid methyl ester (>99%)		Packaging 1 g in glass bottle
Alfa Chemistry	[6,6]-Phenyl C61 butyric acid methyl ester (>99.5%)		
Alfa Chemistry	[6,6]-Phenyl C61 butyric acid methyl ester (>99.9%)		
Alfa Chemistry	[6,6]-Phenyl-C61 butyric acid butyl ester		
Alfa Chemistry	[6,6]-Phenyl-C61 butyric acid octyl ester		
Alfa Chemistry	[6,6]-Phenyl C71 butyric acid methyl ester, mixture of isomers		
Alfa Chemistry	4-(1',5'-Dihydro-1'-methyl-2'H-[5,6]fullereno-C60-Ih-[1,9-c]pyrrol-2'-yl)benzoic acid		
Alfa Chemistry	[6,6]-Pentadeuterophenyl C61 butyric acid methyl ester		
Alfa Chemistry	Fullerene-C60		
Alfa Chemistry	Polyhydroxylated fullerenes, water soluble		Packaging 100 mg in glass insert
Alfa Chemistry	[6.6] Diphenyl C62 bis(butyric acid methyl ester)(mixture of isomers)		
Alfa Chemistry	Small gap fullerenes		
Alfa Chemistry	Small gap fullerene-ethyl nipecotate		
Alfa Chemistry	Fullerene Soot		
Alfa Chemistry	[6,6]-Thienyl C61 butyric acid methyl ester		
Alfa Chemistry	C60 Pyrrolidine tris-acid ethyl ester		Packaging 250 mg in glass insert
Alfa Chemistry	C60 Pyrrolidine tris-acid		
Henan Ouber Technology Co., Ltd.	Fullerene C60		Brown to black solid
Henan Ouber Technology Co., Ltd.	Fullerene C70		Brown to black solid
Henan Ouber Technology Co., Ltd.	Fullerene C84		
Henan Ouber Technology Co., Ltd.	[70]PCBM		
Henan Ouber Technology Co., Ltd.	[60]PCBM		
Henan Ouber Technology Co., Ltd.	Polyhydroxylated Fullerene		
Henan Ouber Technology Co., Ltd.	Fullerene mixture		
MST-NANO	Fullerene C60 99.5%+		
MST-NANO	Fullerene C60 99.5%+ (No Solvent)		
MST-NANO	Fullerene C60 99.9%+		
MST-NANO	Fullerene C60 99.9%+ (No Solvent)		
MST-NANO	Fullerene C70 98.0%+		
MST-NANO	Fullerene C70 98.0%+ (No Solvent)		
MST-NANO	Fullerene C70 99.0%+		
MST-NANO	Fullerene C70 99.0%+ (No Solvent)		
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 500 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 1000 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 2000 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 130 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 4000 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 250 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 80 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerenes ( Fullerenols ),C60 (-OH functional fullerene)		
Solaris Chem	PCBM - PC61BM		CAS: 160848-22-6
Solaris Chem	bis-PCBM		CAS: 1048679-01-1
Solaris Chem	IC60BA		CAS: 1207461-57-1
Solaris Chem	IC60MA		CAS: 186682-36-0
Solaris Chem	IC60TA		CAS: 1363385-54-9
American Dye Source, Inc.	Pure fullerenes	60	
American Dye Source, Inc.	Pure fullerenes	60	
American Dye Source, Inc.	Pure fullerenes	60	
IoLiTec	Pure fullerenes	60	
IoLiTec	Pure fullerenes	60	
IoLiTec	Pure fullerenes	60	
IoLiTec	Pure fullerenes	60	
IoLiTec	13C-enriched fullerenes	60	C-13 enriched C60 (ca. 20-30%)
IoLiTec	Chemically Modified Fullerenes	60	C60 PCBM
IoLiTec	Chemically Modified Fullerenes	60	C60 PCBM-BIS
