Company	Material	Diameter
Alfa Chemistry	Alumina (Al2O3) nanofibers	10-20nm
ANF Technology	Alumina (Al2O3) nanofibers	10-20nm
Alfa Chemistry	Aluminium Nanopowder	<80nm
Nanoshel	Aluminium Nanopowder	<80nm
Alfa Chemistry	Aluminum Oxide Nanopowder	<100nm
Nanoshel	Aluminum Oxide Nanopowder	<100nm
Alfa Chemistry	Anatase nanofiber urchin	~10nm in 1 micron
Novarials Corporation	Anatase nanofiber urchin	~10nm in 1 micron
Alfa Chemistry	Boron Carbide Nanopowder	<60nm
Nanoshel	Boron Carbide Nanopowder	<60nm
Alfa Chemistry	Boron Nitride Nanopowder	800nm
Nanoshel	Boron Nitride Nanopowder	800nm
Alfa Chemistry	Cadmium Selenide Nano Powder	<100nm
Nanoshel	Cadmium Selenide Nano Powder	<100nm
Alfa Chemistry	Calcium Carbonate	<100nm
Nanoshel	Calcium Carbonate	<100nm
Stellenbosch Nanofiber Company	Carbon Nanofiber	Tailored
Catalytic Materials, LLC	Carbon nanofibers	80nm
Grupo Antolin	Carbon nanofibers	20-80nm
Grupo Antolin	Carbon nanofibers	20-80nm
Alfa Chemistry	Carbon Nanofibers (CNFs)	
Nanochemazone	Carbon Nanofibers (CNFs)	
Alfa Chemistry	CdTe quantum Dots Hydrophilic	<50nm
Nanoshel	CdTe quantum Dots Hydrophilic	<50nm
Alfa Chemistry	Cellulose nanofiber (10nm)	10nm
Novarials Corporation	Cellulose nanofiber (10nm)	10nm
Alfa Chemistry	Cellulose nanofiber (50nm)	15nm
Novarials Corporation	Cellulose nanofiber (50nm)	15nm
Alfa Chemistry	Cellulose Nanofiber from Bacteria	50nm*20um
Novarials Corporation	Cellulose Nanofiber from Bacteria	50nm*20um
Nanoshel	Cerium Oxide Nanopowder	<80nm
Alfa Chemistry	Cerium Oxide Nanopowder	<80nm
Nanoshel	Cobalt Nanopowder	<80
Nanoshel	Copper Nanopowder	<80nm
Alfa Chemistry	Copper Oxide NanoPowder	<25-55nm
Nanoshel	Copper Oxide NanoPowder	<25-55nm
Alfa Chemistry	Custom Graphene Oxide Water Dispersion 250 ml	
Stellenbosch Nanofiber Company	Gelatin Nanofibers	200-650 nm
Alfa Chemistry	Gold Nanopowder	<80nm
Nanoshel	Gold Nanopowder	<80nm
Alfa Chemistry	Graphene single Layer	1um-10um
Nanoshel	Graphene single Layer	1um-10um
Nanoshel	Graphite Nanopowder	<80nm
Alfa Chemistry	Iron oxide Nanopowder	<80nm
Nanoshel	Iron oxide Nanopowder	<80nm
Alfa Chemistry	Lead Telluride Nano powder	80-100nm
Nanoshel	Lead Telluride Nano powder	80-100nm
Alfa Chemistry	Lithium Manganese Oxide	20-40nm
Nanoshel	Lithium Manganese Oxide	20-40nm
Alfa Chemistry	Magnesium Oxide Nanopowder	<60nm
Nanoshel	Magnesium Oxide Nanopowder	<60nm
Alfa Chemistry	Molybdenum Oxide Nanopowder	<80nm
Nanoshel	Molybdenum Oxide Nanopowder	<80nm
Alfa Chemistry	Monolayer Nano MoS2 Dispersion 1 mg/mL(C: 1mg/ml, solvent: ethanol)	
Alfa Chemistry	NAFEN Dynamic Enhancers	10nm
ANF Technology	NAFEN Dynamic Enhancers	10nm
Alfa Chemistry	Nickel Carbide Nanopowder	60-80nm
Nanoshel	Nickel Carbide Nanopowder	60-80nm
Nanoshel	Nickel Nanopowder	<80nm
Alfa Chemistry	Nickel Oxide Nanopowder	<80nm
Nanoshel	Nickel Oxide Nanopowder	<80nm
Stellenbosch Nanofiber Company	PAN Nanofiber	150-400nm
Stellenbosch Nanofiber Company	PCL Nanofiber	150-1000 nm
Stellenbosch Nanofiber Company	PLA Nanofiber	400-1100 nm
Stellenbosch Nanofiber Company	PLGA Nanofiber	200-1400 nm
Stellenbosch Nanofiber Company	PU Nanofiber	260-1200nm
Stellenbosch Nanofiber Company	Pullulan Nanofiber	350-700 nm
Stellenbosch Nanofiber Company	PVDF Nanofiber	160-600 nm
Alfa Chemistry	Silicon Carbide Nanopowder	<80nm
Nanoshel	Silicon Carbide Nanopowder	<80nm
Alfa Chemistry	Silicon Nitride Nanofiber	
Alfa Chemistry	Silver nanofibers	100nm
Nanogap S.A.	Silver nanofibers	100nm
Alfa Chemistry	Silver Nanopowder	<80nm
Nanoshel	Silver Nanopowder	<80nm
Alfa Chemistry	SiO2 NanoFibers	10 - 30 nm x 100 - 500 nm
Applied Quantum Materials Inc.	SiO2 NanoFibers	10 - 30 nm x 100 - 500 nm
Alfa Chemistry	Slicon Oxide Hollow Micro Powder	>99%
Nanoshel	Slicon Oxide Hollow Micro Powder	<10um
