Company,Product,APS,Specification
Aegle Technology SL,BioGAS+,,
Alfa Chemistry,Oil Dispersible Upconverting Nanoparticles,,
Alfa Chemistry,PEG-Modified Upconverting Nanoparticles,,
Alfa Chemistry,PEG-NH2 Modified Upconverting Nanoparticles,,
Alfa Chemistry,SiO2-COOH Modified Upconverting Nanoparticles,,
Alfa Chemistry,SiO2-NH2 Modified Upconverting Nanoparticles,,
Alfa Chemistry,Mesoporous SiO2 coated Upconverting Nanoparticles,,
BOC Sciences,"Poly(D,L-lactide-co-glycolide)",,"3,6-dimethyl-1,4-dioxane-2,5-dione1,4-dioxane-2,5-dione"
CD Bioparticles,"Absolute Mag� Carboxyl Magnetic Particles, Magnetite Matrixs, 300-400 nm",,
CD Bioparticles,"Absolute Mag� Magnetic Particles, Silica-coated, 75 nm",,
CD Bioparticles,Absolute Mag� Thiol Magnetic Particles,,
METEOR MINERALS,MT/7 Copper Nano Particles,9nm,Powder
Alfa Chemistry,Aluminum cerium oxide,,
Inframat Advanced Materials LLC,Aluminum Titanate nanoparticles,100nm,P(99.95)
Inframat Advanced Materials LLC,Aluminum Titanate nanoparticles,50-100nm,Thermal spray powder
Inframat Advanced Materials LLC,Aluminum Titanate nanoparticles,50-500nm,"Thermal spray powder, plasma densified"
"Advanced Nano Products Co., Ltd.",Antimony Tin Oxide nanoparticles,,
Inframat Advanced Materials LLC,Antimony Tin Oxide nanoparticles,10-20nm,P(99.95)
Inframat Advanced Materials LLC,Antimony Tin Oxide nanoparticles,100nm,P(99.95+)
Nanophase Technologies Corporation,Antimony Tin Oxide nanoparticles,15nm,P(>99.5)
"Sukgyung AT Co., Ltd.",Antimony Tin Oxide nanoparticles,30nm,Perovskite structure; slightly yellow
"Sukgyung AT Co., Ltd.",Antimony Tin Oxide nanoparticles,50nm,in water
Innovnano,AZO sputtering targets,,
Inframat Advanced Materials LLC,Barium Titanate nanoparticles,100nm,"P(99.95), electronic grade"
Inframat Advanced Materials LLC,Barium Titanate nanoparticles,200nm,"P(99.95), electronic grade"
Inframat Advanced Materials LLC,Barium Titanate nanoparticles,300nm,"P(99.95), electronic grade"
Inframat Advanced Materials LLC,Barium Titanate nanoparticles,400nm,"P(99.95), electronic grade"
Inframat Advanced Materials LLC,Barium Titanate nanoparticles,500nm,"P(99.95), electronic grade"
Inframat Advanced Materials LLC,Barium Titanate nanoparticles,600-700nm,"P(99.95), electronic grade"
Alfa Chemistry,Barium zirconate,,
Inframat Advanced Materials LLC,Barium Zirconium Titanate nanoparticles,200nm,"P(99.95), electronic grade"
Alfa Chemistry,Boron Nitride,,
Sisco Research Laboratories Pvt. Ltd.,Calcium Carbonate nanoparticles,80nm,"(P>98%), cubic, pH 8.5-9.5"
Alfa Chemistry,Calcium chloride,,
Alfa Chemistry,Calcium Zirconate Nanoparticles / Nanopowder,,
Marketech International,Calcium Zirconate nanoparticles,55nm,
Marketech International,Cerium Gadolinium Oxide nanoparticles,20nm,
"Changzhou Geoquin Nano New Material Co.,",Cerium oxide,10-30nm,
Alfa Chemistry,Chromium Carbide Nanoparticles / Nanopowder,,
Alfa Chemistry,Chromium Carbide Nanoparticles / Nanopowder,,
"Applied Nanotech, Inc.",Cobalt Carbon-Coated nanoparticles,28nm,P(>99%)
"Applied Nanotech, Inc.",Copper Carbon-Coated nanoparticles,45nm,P(>99%)
Alfa Chemistry,Copper Iron Oxide Nanoparticles / Nanopowder,,
