Company,Diameter,Configuration,Specification
Adnano technologies pvt. ltd,,MWCNT,Surface area: ~400� m2/g
Adnano technologies pvt. ltd,,COOH Functionalized,COOH Contain 20%
Adnano technologies pvt. ltd,,functionalized,OH contain 20%
Adnano technologies pvt. ltd,,functionalized,Nh2 Contain 20%
Alfa Chemistry,,HMWCNT Type1- Carbon Nanotubes Multi Walled Helical,HMWCNT Type1
Alfa Chemistry,,MWCNT Type 1 Carbon Nanotubes Multi Walled,MWCNT Type 1
Alfa Chemistry,,MWCNT Type 10 Carbon Nanotubes Multi-Walled,MWCNT Type 10
Alfa Chemistry,,MWCNT Type 11 Carbon Nanotubes Multi-Walled,MWCNT Type 11
Alfa Chemistry,,MWCNT Type 12 Carbon Nanotubes Multi-Walled,MWCNT Type 12
Alfa Chemistry,,MWCNT Type 13 Carbon Nanotubes Multi-Walled,MWCNT Type 13
Alfa Chemistry,,MWCNT Type 14 Carbon Nanotubes Multi-Walled,MWCNT Type 14
Alfa Chemistry,,MWCNT Type 15 Carbon Nanotubes Multi-Walled,MWCNT Type 15
Alfa Chemistry,,MWCNT Type 16 Carbon Nanotubes Multi-Walled Short,MWCNT Type 16
Alfa Chemistry,,MWCNT Type 17 Carbon Nanotubes Multi-Walled Short,MWCNT Type 17
Alfa Chemistry,,MWCNT Type 18 Carbon Nanotubes Multi-Walled Short,MWCNT Type 18
Alfa Chemistry,,MWCNT Type 19 - Carbon Nanotubes Multi Walled (Conducting),MWCNT Type 19
Alfa Chemistry,,MWCNT Type 2 Carbon Nanotubes Multi Walled,MWCNT Type 2
Alfa Chemistry,,MWCNT Type 3 Carbon Nanotubes Multi Walled,MWCNT Type 3
Alfa Chemistry,,MWCNT Type 4 Carbon Nanotubes Multi Walled,MWCNT Type 4
Alfa Chemistry,,MWCNT Type 5 Carbon Nanotubes Multi Walled,MWCNT Type 5
Alfa Chemistry,,MWCNT Type 6 Carbon Nanotubes Multi Walled,MWCNT Type 6
Alfa Chemistry,,MWCNT Type 7 Carbon Nanotube Multi Walled (Graphitized),MWCNT Type 7
Alfa Chemistry,,MWCNT Type 8 Carbon Nanotubes Multi-Walled,MWCNT Type 8
Alfa Chemistry,,MWCNT Type 9 Carbon Nanotubes Multi-Walled,MWCNT Type 9
Alfa Chemistry,,"MWCNT-Ni Type 1 Carbon Nanotubes Multi Walled, Nickel coated",Nickel coated
Alfa Chemistry,,"MWCNT-Ni Type 2 Carbon Nanotubes Multi Walled , Nickel coated",MWCNT-Ni Type 2
Alfa Chemistry,,"MWCNT-Ni Type 3 Carbon Nanotubes Multi Walled , Nickel coated",MWCNT-Ni Type 3
Alfa Chemistry,,"MWCNT-Ni Type 4 Carbon Nanotubes Multi Walled , Nickel coated",MWCNT-Ni Type 4
Alfa Chemistry,,,10 mmx20 mm Si substrate
Alfa Chemistry,,10 mmx20 mm Si substrate,10-40 nm (carbon nanotubes)
Alfa Chemistry,,"Carbon nanotube, few-walled",Form powder
Alfa Chemistry,,"Carbon Nanotube Array, Multi-walled (vertically aligned on Si substrate)",Packaged in Vacuum Release� (VR) Trays.
Alfa Chemistry,,"Carbon Nanotube Array, Multi-walled","vertically aligned on Si substrate, H 0.5 mm"
Alfa Chemistry,,"Carbon Nanotube Array, Multi-walled","vertically aligned on Si substrate, height 1.0 mm"
Alfa Chemistry,,"Carbon Nanotube, Multi-walled",>90% Carbon basis
Alfa Chemistry,,"Carbon Nanotube, Multi-walled",<5% Metal Oxide
Alfa Chemistry,,"Carbon Nanotube, Multi-walled",>95% Carbon basis
Alfa Chemistry,,"Carbon Nanotube, Multi-walled",>98% Carbon basis
Alfa Chemistry,,"Carbon Nanotube, Multi-walled",As-produced cathode deposit
Alfa Chemistry,,"Carbon Nanotube, Multi-walled",Flake of bundled CNTs
Alfa Chemistry,,"Carbon Nanotube, Multi-walled",Powdered cylinder cores
Alfa Chemistry,,"Carbon Nanotube, Multi-walled","Thin and short, <5% Metal Oxide"
Alfa Chemistry,,Multi-wall Carbon Nanotubes,60-100nm
Distribution Nanomats Inc.,,,
Nanocs,,functionalized,C-MWNT-COOH
Nanocs,,functionalized,C-MWNT-NH2
Nanocs,,functionalized,C-MWNT-PEG
Nanocs,,functionalized,C-MWNT-SH
Nanocs,,film,Free-standing CNTs
Nanocs,,tips,Tips from CNTs
Nanocs,,pure,Water soluble CNTs
Nanocyl S.A.,,functionalized,C-MWNT-OH
Nanocyl S.A.,,functionalized,C-MWNT-SH
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 48-78nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: < 8nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 18-28 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 28-48 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 4-16nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 8-18 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 18-28 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 28-48 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 4-16 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 48-78 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: <8nm
Nanografi Nanotechnology Co. Ltd.,,,
Nanografi Nanotechnology Co. Ltd.,,,
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 190-590nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 190-590nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 30-50 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 4-16 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 48-78nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 28-48 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 8-18nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: <8nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 8-10 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 8-18 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 18- 28 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 4-16nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 48-78 nm
Nanografi Nanotechnology Co. Ltd.,,,Outside Diameter: 18-28 nm
NanoLab,,paper,"CNT-paper, thickness ~0.1mm"
UP Catalyst,,,
UP Catalyst,,,
XinNano Materials,,,"Screen printing, tensile printing, dispensing, etc 400�C~500�C in nitrogen environment Low turn-on field & high current density (10mA/cm2 @ <2V/um)"
Nanoshel,10-20 nm,OH functionalized MWCNT,Surface Modification Multi walled Carbon Nanotubes (>98wt% OD:10-20nm Length:3-8um OH:2-4Wt%)
Alfa Chemistry,10-20nm,,
Alfa Chemistry,10-20nm,,
Arry International Group,10-20nm,functionalized,
Arry International Group,10-20nm,functionalized,
Arry International Group,10-20nm,pure,
Arry International Group,10-20nm,pure,
"Cheap Tubes, Inc.",10-20nm,functionalized,
"Cheap Tubes, Inc.",10-20nm,functionalized,
"Cheap Tubes, Inc.",10-20nm,functionalized,
"Cheap Tubes, Inc.",10-20nm,pure,
"Cheap Tubes, Inc.",10-20nm,pure,
"Cheap Tubes, Inc.",10-20nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",10-20nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",10-20nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",10-20nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",10-20nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",10-20nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",10-20nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",10-20nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",10-20nm,pure,
Chengdu Organic Chemicals Co. Ltd.,10-20nm,pure,
Chengdu Organic Chemicals Co. Ltd.,10-20nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,10-20nm,functionalized,
Chengdu Organic Chemicals Co. Ltd.,10-20nm,pure,
"HeJi, Inc.",10-20nm,pure,
"HeJi, Inc.",10-20nm,pure,L(500nm or 2000nm) shortCNT
"HeJi, Inc.",10-20nm,functionalized,
"HeJi, Inc.",10-20nm,functionalized,
"HeJi, Inc.",10-20nm,functionalized,
"HeJi, Inc.",10-20nm,functionalized,
IoLiTec,10-20nm,functionalized,
IoLiTec,10-20nm,functionalized,
IoLiTec,10-20nm,pure,
IoLiTec,10-20nm,pure,
IoLiTec,10-20nm,pure,
IoLiTec,10-20nm,pure,
NanoLab,10-20nm,pure,
NanoLab,10-20nm,pure,
NanoLab,10-20nm,functionalized,
NanoLab,10-20nm,functionalized,
NanoLab,10-20nm,functionalized,
NanoLab,10-20nm,pure,
NanoLab,10-20nm,functionalized,
NanoLab,10-20nm,functionalized,
NanoLab,10-20nm,functionalized,
NanoLab,10-20nm,functionalized,
NanoLab,10-20nm,functionalized,
Nanoshel,10-20nm,COOH Modified MWCNT,"MWCNT-COOH (High Purity, OD:10-20nm, COOH:2-4wt%, >98wt%)"
Sisco Research Laboratories Pvt. Ltd.,10-20nm,pure,
"SkySpring Nanomaterials, Inc.",10-20nm,pure,
"SkySpring Nanomaterials, Inc.",10-20nm,pure,
"SkySpring Nanomaterials, Inc.",10-20nm,pure,
"SkySpring Nanomaterials, Inc.",10-20nm,pure,
"SkySpring Nanomaterials, Inc.",10-20nm,pure,
"SkySpring Nanomaterials, Inc.",10-20nm,pure,
Sun Innovations,10-20nm,pure,
Sun Innovations,10-20nm,pure,Aligned CMWNT Aqueous Dispersion with Non-Ionic Surfactant; 1.6 wt%
Sun Innovations,10-20nm,pure,
Sun Innovations,10-20nm,pure,
Sun Innovations,10-20nm,functionalized,
Sun Innovations,10-20nm,functionalized,
Sun Innovations,10-20nm,pure,
TCI Europe,10-20nm,pure,
TCI Europe,10-20nm,pure,
TCI Europe,10-20nm,pure,
TCI Europe,10-20nm,pure,
XP Nano Material Co. Ltd.,10-20nm,pure,
XP Nano Material Co. Ltd.,10-20nm,pure,
XP Nano Material Co. Ltd.,10-20nm,pure,
XP Nano Material Co. Ltd.,10-20nm,pure,
Nanoshel,10-30 nm,Pristine MWCNT,industrial polymer-grade
Alfa Chemistry,10-30nm,,
Arry International Group,10-30nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",10-30nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",10-30nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",10-30nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",10-30nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",10-30nm,pure,
"Chengdu Alpha Nano Technology Co., Ltd.",10-30nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",10-30nm,functionalized,
"Chengdu Alpha Nano Technology Co., Ltd.",10-30nm,pure,
Chengdu Organic Chemicals Co. Ltd.,10-30nm,pure,
IoLiTec,10-30nm,pure,
IoLiTec,10-30nm,pure,
IoLiTec,10-30nm,pure,
IoLiTec,10-30nm,pure,
MicrotechNano,10-30nm,pure,
NanoLab,10-30nm,pure,
Nanothinx S.A.,10-30nm,pure,
Nanothinx S.A.,10-30nm,pure,
Nanothinx S.A.,10-30nm,pure,
Nanothinx S.A.,10-30nm,pure,
Nanothinx S.A.,10-30nm,pure,
SES Research,10-30nm,pure,
SES Research,10-30nm,pure,
Sun Innovations,10-30nm,pure,
Sun Innovations,10-30nm,pure,
"Sun Nanotek Co, Ltd.",10-30nm,pure,"CVD, source: acetylene"
"Sun Nanotek Co, Ltd.",10-30nm,pure,"CVD, source: acetylene"
"Sun Nanotek Co, Ltd.",10-30nm,pure,
"Sun Nanotek Co, Ltd.",10-30nm,pure,
