Company	Product	Diameter
Alfa Chemistry	Alumina nanowire dispersion	4nm in water
Novarials Corporation	Alumina nanowire dispersion	4nm in water
Alfa Chemistry	Alumina nanowires 4nm	4nm*1um, transparent
Novarials Corporation	Alumina nanowires 4nm	4nm*1um, transparent
Alfa Chemistry	Alumina nanowires B	10nm
Novarials Corporation	Alumina nanowires B	10nm
Nanochemazone	Aluminium Oxide Nanowires	2-6 nm (Customization is possible)
Alfa Chemistry	Aluminum oxide	
Alfa Chemistry	Aluminum Oxide Nanowires	
Alfa Chemistry	Aluminum Oxide Nanowires Properties	30-50nm
Alfa Chemistry	Anatase nanowires A	10nm
Novarials Corporation	Anatase nanowires A	~10nm
Alfa Chemistry	Anatase nanowires B	100nm
Novarials Corporation	Anatase nanowires B	~100nm
Novarials Corporation	Cellulose Nanocrystals (TEMPO)	
Novarials Corporation	Cellulose Nanofibers (TEMPO)	
Novarials Corporation	Cellulose Nanofibers from bacteria	
Nanochemazone	Coating and Membrane Grade Titanium Oxide Nanowires	10 nm (customization available)
Alfa Chemistry	Cobalt Nanowire Dispersion	
Alfa Chemistry	Cobalt nanowires	100nm
Nanochemazone	Cobalt Nanowires	200-300 nm
Novarials Corporation	Cobalt nanowires	~100nm
Nanochemazone	Copper Hydroxide Nanowires	10 nm (customization available)
Alfa Chemistry	Copper Nanowire	50-200 nm
Nanochemazone	Copper Nanowire	40-50nm
Alfa Chemistry	Copper Nanowire Dispersion	
Alfa Chemistry	Copper nanowire dispersion (20nm)	20nm*30um
Novarials Corporation	Copper nanowire dispersion (20nm)	20nm*30um
Alfa Chemistry	Copper nanowire dispersion (40nm)	40nm*50um
Novarials Corporation	Copper nanowire dispersion (40nm)	40nm*50um
Alfa Chemistry	Copper Nanowires	30-50nm
Nanochemazone	Copper Nanowires	100-200 nm (Customization is possible)
Novarials Corporation	Copper nanowires	~150nm
PlasmaChem GmbH	Copper Nanowires	40-50nm
Sisco Research Laboratories Pvt. Ltd.	Copper Nanowires	50nm
Alfa Chemistry	Copper nanowires 100nm*10um	100nm*10um
Novarials Corporation	Copper nanowires 100nm*10um	~100nm
Novarials Corporation	Copper nanowires 100nm*30um	
Novarials Corporation	Copper nanowires 100nm*50um	
Alfa Chemistry	Copper single crystal, 15mm (0.59in) dia, 50mm (2.0in) long, (100) orientation	15mm
Alfa Chemistry	Cu	
Alfa Chemistry	Dysprosium Oxide Nanowires	
Alfa Chemistry	Germanium Nanowires	
Alfa Chemistry	Gold Nanorods	100 nm
Alfa Chemistry	Gold Nanorods Cancer Treatment	
Alfa Chemistry	Gold Nanorods Sigma	
Alfa Chemistry	Gold Nanowire	
Nanochemazone	Gold Nanowire	10 nm (Customization is possible)
Alfa Chemistry	Gold Nanowire Dispersion	? 75nm
Alfa Chemistry	Gold Nanowires	75 nm
Novarials Corporation	Gold Nanowires	~2nm
Alfa Chemistry	Gold Nanowires Properties	30-50nm
Alfa Chemistry	Highly Conducting Silver Nanowire	25 nm
Nanochemazone	Highly Conducting Silver Nanowire	25 nm (customization available)
Alfa Chemistry	Hydroxyapatite Nanowire	40 nm
Nanochemazone	Hydroxyapatite Nanowire	40 nm (customization available)
Alfa Chemistry	Hydroxylapatite nanowire A	40nm
Novarials Corporation	Hydroxylapatite nanowire A	~40nm
Alfa Chemistry	Hydroxylapatite nanowire B	100nm
Novarials Corporation	Hydroxylapatite nanowire B	100nm
Alfa Chemistry	Iron nanowires	80nm*20um
Nanochemazone	Iron Nanowires	80 nm (customization available)
Novarials Corporation	Iron nanowires	~80nm*20um
Nanochemazone	Iron oxide Nanowires	50 nm (customization available)
Alfa Chemistry	Iron Oxyhydroxide Nanowire	50 nm
Nanochemazone	Iron Oxyhydroxide Nanowires	50 nm (customization available)
Alfa Chemistry	Iron(III) Oxide Nanowires	
Alfa Chemistry	Lanthanum oxide nanowire A	10nm
Novarials Corporation	Lanthanum oxide nanowire A	~10nm
Novarials Corporation	Lanthanum oxide nanowire B	
Alfa Chemistry	Lanthanum Oxide Nanowires	20 nm
Nanochemazone	Lanthanum Oxide Nanowires	20 nm (customization available)
Alfa Chemistry	Lead Nanowires	80nm
Nanochemazone	Lead Nanowires	80�20 nm
PlasmaChem GmbH	Lead Nanowires	80nm
Alfa Chemistry	Lead Titanate Nanowire	~ 40 nm
Nanochemazone	Lead Titanate Nanowires	~ 40 nm (Customization is possible)
Alfa Chemistry	Lead Zirconate Titanate Nanowire	~ 40 nm
Nanochemazone	Lead Zirconate Titanate Nanowire	~ 40 nm (Customization is possible)
Alfa Chemistry	Lead Zirconate Titanate Nanowire SEM/TEM	
Alfa Chemistry	Magnesia nanowire A	10nm
Novarials Corporation	Magnesia nanowire A	~10nm
Alfa Chemistry	Magnesia nanowire B	300nm
Novarials Corporation	Magnesia nanowire B	~300nm
Alfa Chemistry	Magnesium Oxide nanowire	300 nm
Nanochemazone	Magnesium Oxide Nanowire	300 nm (customization available)
Alfa Chemistry	Manganese oxide nanowires	10nm
Alfa Chemistry	Manganese Oxide Nanowires	~ 40 nm
Nanochemazone	Manganese Oxide Nanowires	~ 40 nm (Customization is possible)
Novarials Corporation	Manganese oxide nanowires	~10nm
Alfa Chemistry	Manganese Tungstate Nanowire	30 nm
Alfa Chemistry	Mangasnese tungstate nanowires	30nm
Novarials Corporation	Mangasnese tungstate nanowires	~30nm
Alfa Chemistry	Molybdenum oxide nanowires	200nm
Novarials Corporation	Molybdenum oxide nanowires	~200nm
Alfa Chemistry	Nanowire membranes	
Alfa Chemistry	Nickel	30-50nm
Alfa Chemistry	Nickel Hydroxide nanowire	40 nm
Nanochemazone	Nickel Hydroxide Nanowire	40 nm (customization available)
Alfa Chemistry	Nickel hydroxide nanowires	40nm
Novarials Corporation	Nickel hydroxide nanowires	40nm
Alfa Chemistry	Nickel nanowires	200 nm or 300 nm
Nanochemazone	Nickel Nanowires	200-300 nm (Customization is possible)
Novarials Corporation	Nickel nanowires	200nm*200um
Alfa Chemistry	Nickel Oxide Nanofibers	150-200nm
Nanochemazone	Nickel Oxide Nanowire	20 nm (customization available)
Alfa Chemistry	Nickel oxide nanowires	40nm
Novarials Corporation	Nickel oxide nanowires	40nm
Alfa Chemistry	Nickel Wire	0.025mm
Metal Group GmbH	Nickel Wire	0,025mm
Alfa Chemistry	Nickel(II) Oxide Nanowires	
Alfa Chemistry	Potassium titanate	10nm
Novarials Corporation	Potassium titanate	~10nm
Alfa Chemistry	Potassium Trimolybdate	120 nm
Nanochemazone	Potassium Trimolybdate Nanowire	120 nm (customization available)
Alfa Chemistry	Potassium trimolybdate nanowires	120nm
Novarials Corporation	Potassium trimolybdate nanowires	120nm
Alfa Chemistry	SiC Nanowire	
Alfa Chemistry	Silica (SiO2) nanowires	
Novarials Corporation	Silica (SiO2) nanowires	10nm
Alfa Chemistry	Silicon carbide (SiC) nanowires	
Novarials Corporation	Silicon carbide (SiC) nanowires	~350nm
Alfa Chemistry	Silicon Carbide Nanowire	350 nm
Nanochemazone	Silicon Carbide Nanowire	350 nm (customization available)
Alfa Chemistry	Silicon carbide wiskers	
Novarials Corporation	Silicon carbide wiskers	~1 micron
Alfa Chemistry	Silicon Nanowire Dispersion	
Nanochemazone	Silicon Nanowire on Silicon Wafer Substrate	40-50 nm (Customization is possible)
Alfa Chemistry	Silver Nanowire	
Alfa Chemistry	Silver nanowire (100nm*150um)	
Alfa Chemistry	Silver nanowire (100nm*150um)	
Novarials Corporation	Silver nanowire (100nm*150um)	100nm*150um
Alfa Chemistry	Silver nanowire A20	
Novarials Corporation	Silver nanowire A20	20nm*20um
Alfa Chemistry	Silver nanowire A30	
Novarials Corporation	Silver nanowire A30	30nm*30um
Novarials Corporation	Silver nanowire A40	40nm*40um
Alfa Chemistry	Silver nanowire A50	
Novarials Corporation	Silver nanowire A50	50nm*40um
Alfa Chemistry	Silver nanowire A70	
Novarials Corporation	Silver nanowire A70	70nm*40um
Alfa Chemistry	Silver nanowire B100	
Novarials Corporation	Silver nanowire B100	~100nm
Alfa Chemistry	Silver nanowire B50	
Novarials Corporation	Silver nanowire B50	~50nm
Alfa Chemistry	Silver nanowire coating material (roll to roll)	
Novarials Corporation	Silver nanowire coating material (roll to roll)	30nm
Alfa Chemistry	Silver nanowire coating material (screen printing)	
Novarials Corporation	Silver nanowire coating material (screen printing)	30nm
Alfa Chemistry	Silver Nanowire Dispersion	
Alfa Chemistry	Silver nanowire inks	~30nm
