Company	Product	APS	Specification
IMRA America, Inc. (NanoBio Division)	40 nm Gold-Platinum Nanoparticles (bare)	40 nm	
CD Bioparticles	Absolute Mag� Anti-Human CD15 Magnetic Particles		
CD Bioparticles	Absolute Mag� Anti-Mouse CD207 (Langerin) Magnetic Particles		
CD Bioparticles	Absolute Mag� Anti-Mouse IgG (H&L) Magnetic Particles, Cross Adsorbed		
CD Bioparticles	Absolute Mag� Carboxyl Magnetic Particles, Fluorescent Nile Red, 8.0-9.9 μm		
CD Bioparticles	Absolute Mag� Protein G Magnetic Particles, 0.5 �m		
CD Bioparticles	Absolute�Mag� Carboxyl Magnetic Nanoparticles, Cross-linked Dextran Coated, 500 nm		
Tech4nano	Al2O3 nanopowder		
ALB Materials Inc	Hafnium Carbide (HfC) Nanopowder, Nanoparticles, 800nm, 99.9%	800nm	
HIQ-NANO srl	preciZe - your reference for Zeta Potential		
Nanjing High Technology Nano Material Co., Ltd.	Rutile Nano Titanium Oxide		mixed type with anatase and rutile?20nm
Nanjing High Technology Nano Material Co., Ltd.	Rutile Nano Titanium Oxide		HTTi-03
Tech4nano	SiO2 nanopowder		
Tech4nano	TiO2 nanopowder		
ALB Materials Inc	Vanadium Carbide (VC) Nanopowder, Nanoparticles, 100nm, 99.9%	100nm	
HIQ-NANO srl	Zeta Potential reference material		
ALB Materials Inc	Zirconium Disulfide (ZrS2) Micropowder, Microparticles, 10μm, 99.9%	10um	
Tech4nano	ZnO nanopowder		
Adnano technologies pvt. ltd	Aluminium Oxide Nano Particles	~20-50 nm	unique abrasion resistance properties for use in optical lenses, windows, flooring and other surfaces and coatings prone to scratching
Nanoe	Alumina	150	Specific surface area: 10 � 2 m2/g; minimum purity 99.9%
SkySpring Nanomaterials, Inc.	Aluminum hydroxide nanoparticles	30-100nm	P(99.99%)
GoodFellow	Aluminum nitride nanoparticles	20nm	P(>99.5%)
PlasmaChem GmbH	Aluminum nitride nanoparticles	25-50nm	Various shapes, P(>95)
IoLiTec	Aluminum nitride nanoparticles	40nm	P(99)
SkySpring Nanomaterials, Inc.	Aluminum nitride nanoparticles	40nm	P(99%)
EPRUI Nanoparticles & Microspheres Co. Ltd	Aluminum nitride nanoparticles	50nm	P(99); hexagonal; plasma CVD
IoLiTec	Aluminum nitride nanoparticles	50nm	P(99)
GoodFellow	Aluminum oxide nanoparticles	100nm	P(99.95%) gamma
Meliorum Technologies Inc.	Aluminum oxide nanoparticles	10nm	Narrow size-distribution
Meliorum Technologies Inc.	Aluminum oxide nanoparticles	10nm	Suspended in water
Meliorum Technologies Inc.	Aluminum oxide nanoparticles	10nm	Suspended in toluene
Inframat Advanced Materials LLC	Aluminum oxide nanoparticles	150nm	(alpha), P(99.8) C(SEM) 40nm grain size
Nanophase Technologies Corporation	Aluminum oxide nanoparticles	150nm	spherical 70% delta, 30% gamma, C(TEM)
MKnano	Aluminum oxide nanoparticles	15nm	(Gamma) P(99.5%) hydrophilic
SkySpring Nanomaterials, Inc.	Aluminum oxide nanoparticles	20-100nm	P(99.9%) gamma
Sisco Research Laboratories Pvt. Ltd.	Aluminum oxide nanoparticles	20-30nm	(P>99.9%)
IoLiTec	Aluminum oxide nanoparticles	200nm	P(99.9)
EPRUI Nanoparticles & Microspheres Co. Ltd	Aluminum oxide nanoparticles	20nm	P(99%) gamma, white
GoodFellow	Aluminum oxide nanoparticles	20nm	P(99.95%) gamma
IoLiTec	Aluminum oxide nanoparticles	20nm	P(>99)
Nanophase Technologies Corporation	Aluminum oxide nanoparticles	20nm	spherical 70% delta, 30% gamma, C(TEM)
PlasmaChem GmbH	Aluminum oxide nanoparticles	25-50nm	Spherical, P(>98.5)
Sukgyung AT Co., Ltd.	Aluminum oxide nanoparticles	30nm	(P>99) spherical
Sukgyung AT Co., Ltd.	Aluminum oxide nanoparticles	30nm	(P>99) spherical; in water
Marketech International	Aluminum oxide nanoparticles	37nm	Gamma alumina
EPRUI Nanoparticles & Microspheres Co. Ltd	Aluminum oxide nanoparticles	40-80nm	P(99%) alpha, white
Inframat Advanced Materials LLC	Aluminum oxide nanoparticles	40nm	(gamma), P(99.5) C(SEM)
IoLiTec	Aluminum oxide nanoparticles	40nm	P(99.8)
MKnano	Aluminum oxide nanoparticles	40nm	(Alpha) P(99.5%)
MKnano	Aluminum oxide nanoparticles	40nm	(Alpha) P(99.5%), hydrophilic
Nanophase Technologies Corporation	Aluminum oxide nanoparticles	40nm	spherical 70% delta, 30% gamma, C(TEM)
MTI Corporation	Aluminum oxide nanoparticles	50-100nm	P(99.9), crystalline, S(sol-gel)
Nyacol Nanotechnologies, Inc.	Aluminum oxide nanoparticles	50nm	Acidic (pH 4.0)
Nyacol Nanotechnologies, Inc.	Aluminum oxide nanoparticles	50nm	Dispensible in polar solvents
SkySpring Nanomaterials, Inc.	Aluminum oxide nanoparticles	5nm	P(99.9%) gamma
IoLiTec	Aluminum oxide nanoparticles	80nm	P(>99)
SkySpring Nanomaterials, Inc.	Antimony oxide nanoparticles	150nm	P(99.9%)
Nyacol Nanotechnologies, Inc.	Antimony oxide nanoparticles	30nm	Various solvents
Inframat Advanced Materials LLC	Antimony oxide nanoparticles	80nm	P(99.9)
IoLiTec	Antimony oxide nanoparticles	90-210nm	P(99.9)
IoLiTec	Barium oxide nanoparticles	90-210nm	P(99.9)
Inframat Advanced Materials LLC	Bismuth oxide nanoparticles	150nm	P(99.9)
IoLiTec	Bismuth oxide nanoparticles	200nm	P(99.9)
Nanophase Technologies Corporation	Bismuth oxide nanoparticles	38nm	P(>99.5), tetragonal, C(TEM)
IoLiTec	Bismuth oxide nanoparticles	90-120nm	P(99.8)
Green Technology Research Center Inc.	Boron carbide (?4C)		
Sisco Research Laboratories Pvt. Ltd.	Boron carbide nanoparticles	50nm	(P 99%)
SkySpring Nanomaterials, Inc.	Boron carbide nanoparticles	50nm	P(99%)
IoLiTec	Boron nitride nanoparticles	137nm	P(99)
PlasmaChem GmbH	Boron nitride nanoparticles	150-180nm	Cubic, P(>99)
MKnano	Boron nitride nanoparticles	250nm	P(99%) cubic
MKnano	Boron nitride nanoparticles	70nm	P(99%) hexagonal
Sisco Research Laboratories Pvt. Ltd.	Boron nitride nanoparticles	70nm	P(>99%)
IoLiTec	Boron oxide nanoparticles	40-80nm	P(98)
Sisco Research Laboratories Pvt. Ltd.	Calcium carbonate nanoparticles	80nm	P(>98%) cubic
PlasmaChem GmbH	Calcium carbonate nanoparticles	90nm	cubic shape
Nyacol Nanotechnologies, Inc.	Cerium oxide nanoparticles	10-20nm	Acidic (pH 1.5), positive particle charge
Nyacol Nanotechnologies, Inc.	Cerium oxide nanoparticles	10-20nm	Acidic (pH 3.0), positive particle charge
SkySpring Nanomaterials, Inc.	Cerium oxide nanoparticles	10-30nm	P(99.9%)
Nanocerox, Inc.	Cerium oxide nanoparticles	100nm	Crystalline (cubic)
Meliorum Technologies Inc.	Cerium oxide nanoparticles	10nm	Narrow size-distribution
Meliorum Technologies Inc.	Cerium oxide nanoparticles	10nm	Suspended in water
Meliorum Technologies Inc.	Cerium oxide nanoparticles	10nm	Suspended in toluene
IoLiTec	Cerium oxide nanoparticles	15-30nm	P(99.99)
Marketech International	Cerium oxide nanoparticles	15nm	cubic
Advanced Nano Products Co., Ltd.	Cerium oxide nanoparticles	20nm	Transparent, narrow size distr
Nanophase Technologies Corporation	Cerium oxide nanoparticles	30nm	P(>99.95)
PlasmaChem GmbH	Cerium oxide nanoparticles	4nm	
Advanced Nano Products Co., Ltd.	Cerium oxide nanoparticles	5-10nm	Transparent, narrow size distr
Inframat Advanced Materials LLC	Cerium oxide nanoparticles	50-80nm	Crystalline, P(99.97)
IoLiTec	Cerium oxide nanoparticles	50-80nm	P(99.95)
Advanced Nano Products Co., Ltd.	Cerium oxide nanoparticles	50nm	Transparent, narrow size distr
IoLiTec	Chromium oxide nanoparticles	60nm	P(99)
Sisco Research Laboratories Pvt. Ltd.	Chromium oxide nanoparticles	90nm	(P>99%)
Inframat Advanced Materials LLC	Cobalt oxide nanoparticles	20nm	P(99.8)
IoLiTec	Cobalt oxide nanoparticles	30nm	P(99.8)
EPRUI Nanoparticles & Microspheres Co. Ltd	Cobalt oxide nanoparticles	50nm	P(>99.5%); spherical; black
SkySpring Nanomaterials, Inc.	Cobalt oxide nanoparticles	<100nm	P(70-72%)
IoLiTec	Copper oxide nanoparticles	12nm	P(99.5)
Marketech International	Copper oxide nanoparticles	30nm	monoclinic
EPRUI Nanoparticles & Microspheres Co. Ltd	Copper oxide nanoparticles	40-60nm	P(>99%) nearly spherical; black
Sisco Research Laboratories Pvt. Ltd.	Copper oxide nanoparticles	40nm	(P>99%)
IoLiTec	Copper oxide nanoparticles	50-80nm	P(99.9)
Adnano technologies pvt. ltd	Copper Oxide Nano Particles	~30-70 nm	It can greatly improve the homogeneous propellant burning rate, lower pressure index, and also perform better as a catalyst for the AP composite propellant. Can be applied to the catalyst, superconducting materials, thermoelectric materials, sensing materials, glass, ceramics and other fields
IoLiTec	Dysprosium oxide nanoparticles	55nm	P(99.9)
IoLiTec	Erbium oxide nanoparticles	43nm	P(99.9)
IoLiTec	Europium oxide nanoparticles	45-58nm	P(99.99)
Adnano technologies pvt. ltd	Iron Oxide Nanoparticles	~30-60 nm	used in magnetic resonance imaging to provide enhanced contrast at very low concentrations in the nanomolar range for studying tumors. For magnetic data storage.
IoLiTec	Gadolinium oxide nanoparticles	15-30nm	P(99.9)
IoLiTec	Gadolinium oxide nanoparticles	20-80nm	P(99.9)
Marketech International	Hafnium carbide nanoparticles	60nm	
SkySpring Nanomaterials, Inc.	Hafnium oxide nanoparticles	100nm	P(99.9%)
FLUIDINOVA S.A.	nanoXIM�CarePaste	<50nm	Hydroxyapatite 15.5 � 0.5 wt %; KCl 4.5 � 0.5 wt %; Water ? 81.0 wt %; Heavy metals ? 20 ppm; pH 10 � 0.5; Total Aerobic Mesophilic Microorganisms ? 100 cfu/g
FLUIDINOVA S.A.	nanoXIM�CarePowder	<50nm	Particle size (d50) 5.0 � 2.5 �m; Phase purity 100 %; Specific surface area (BET) ? 100 m2/g; Heavy metals ? 20 ppm.
FLUIDINOVA S.A.	nanoXIM�HAp102	<50nm	Hydroxyapatite 15.0 � 1.0 wt %; Phase purity 100 %; Specific surface area (BET) ? 80 m2/g; Heavy metals ? 20 ppm.
FLUIDINOVA S.A.	nanoXIM�HAp102	<50nm	Hydroxyapatite content 15.0 � 1.0 wt %; Phase purity 100%; Specific surface area (BET) ? 80 m2/g; Heavy metals ? 20 ppm.
FLUIDINOVA S.A.	nanoXIM�HAp103	<50nm	Hydroxyapatite content 30.0 � 3.0 wt %; Phase purity 100%; Specific surface area (BET) ? 80 m2/g; Heavy metals ? 20 ppm.
FLUIDINOVA S.A.	nanoXIM�HAp202	<50nm	Particle size (d50) 5.0 � 1.0 �m; Phase purity 100 %; Specific surface area (BET) ? 100 m2/g; Heavy metals ? 20 ppm.
FLUIDINOVA S.A.	nanoXIM�HAp203	<50nm	Particle size (d50) 10.0 � 2.0 �m; Phase purity 100 %; Specific surface area (BET) ? 100 m2/g; Heavy metals ? 20 ppm.
SkySpring Nanomaterials, Inc.	Indium oxide nanoparticles	20-70nm	P(99.99%)
Marketech International	Indium oxide nanoparticles	24nm	
IoLiTec	Indium oxide nanoparticles	30-70nm	P(99.5)
Sisco Research Laboratories Pvt. Ltd.	Indium oxide nanoparticles	50nm	P(99.99%)
PlasmaChem GmbH	Indium oxide nanoparticles	6nm	
PlasmaChem GmbH	Iron (carbon shell) nanoparticles	30-60nm	with hydrophobic carbon shell
PlasmaChem GmbH	Iron (carbon shell) nanoparticles	30-60nm	with hydrophilic carbon shell
Nanogap S.A.	Iron (II,III) oxide nanoparticles	17-23nm	10 nm Magnetite coated with 5 nm Silica
IoLiTec	Iron (II,III) oxide nanoparticles	20-30nm	P(98)
Mach 1 Inc.	Iron (II,III) oxide nanoparticles	25nm	
Nanogap S.A.	Iron (II,III) oxide nanoparticles	3-4nm	Maghemite; coated with oleic acid or oleylamine
Nanogap S.A.	Iron (II,III) oxide nanoparticles	35-45nm	10 nm Magnetite coated with 15 nm Silica
Nanogap S.A.	Iron (II,III) oxide nanoparticles	8-12nm	Magnetite; Dispersed in aqueous tetramethylammonium hydroxide solution (pH-10) and glycols
Nanogap S.A.	Iron (II,III) oxide nanoparticles	8-12nm	Magnetite; Coated with poly acrylic acid and dispersed in water or glycols
Nanogap S.A.	Iron (II,III) oxide nanoparticles	8-12nm	Magnetite; coated with oleic acid and dispersed in aqueous tetramethylammonium hydroxide solution (pH-13)
PlasmaChem GmbH	Iron (II,III) oxide nanoparticles	8nm	5% aqueous solution
IoLiTec	Iron (II,III) oxide nanoparticles	9nm	P(99.5) Magnetite
Mach 1 Inc.	Iron (III) oxide nanoparticles	3nm	P(99.3) Transparent, super-fine
PlasmaChem GmbH	Iron (III) oxide nanoparticles	6nm	
