"Coloured Beans: Area and Production, by County, 2021",,,,,
,Acres seeded , Acres harvested,Yield (cwt/ac),Production ('000 cwt),Production ('000 tonnes)
Ontario,"  67,900 ","  64,100 ",25.5 ,"  1,634.0 ",  73.4 
Southern Ontario,"  30,377 ","  27,948 ",  27.3 ,  763.1 ,  34.3 
Western Ontario,"  31,534 ","  30,318 ",  25.3 ,  767.0 ,  34.5 
Central Ontario,"  4,406 ","  4,396 ",  15.5 ,  68.1 ,  3.1 
Eastern Ontario,"  1,583 ","  1,437 ",  25.0 ,  35.9 ,  1.6 
Northern Ontario,  -   ,  -   ,  -   ,  -   ,  -   
,,,,,
.. not available for a specific reference period or zero; x suppressed tdue to  confidentiality requirements,,,,,
"Note: Please note that the figures above are estimates primarily derived from a probability survey conducted by Statistics Canada, in conjunction with other administrative data sources. The probability survey is designed to produce accurate field crop area and yield information for the province as a whole. However, the accuracy of county and district estimates may suffer, particularly when the level of farming activity in a given area is relatively small. Thus, a measure of caution is advised when using sub-provincial estimates.",,,,,
,,,, , 
Reference: OMAFRA calculations adapted from Statistics Canada,,,, , 
Mach 2022,,,, , 
,,,, , 
,,,, , 
,,,, , 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
 ,,,,,
