"Grain Corn: Area and Production, by County, 2011",,,,,
,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Ontario,"  2,032,356 ","  1,880,000 ",151.6 ,"  285,000.0 ","  7,239.4 "
Southern Ontario,"  914,353 ","  850,082 ",158.6 ,"  134,853.9 ","  3,425.5 "
Western Ontario,"  616,174 ","  565,735 ",149.9 ,"  84,783.2 ","  2,153.6 "
Central Ontario,"  185,965 ","  173,029 ",141.6 ,"  24,506.0 ",  622.5 
Eastern Ontario,"  312,407 ","  287,920 ",140.9 ,"  40,560.5 ","  1,030.3 "
Northern Ontario,"  3,457 ","  3,233 ",91.7 ,  296.5 ,  7.5 
,,,,,
,,,,,
"Note: Please note that the figures above are estimates primarily derived from a probability survey conducted by Statistics Canada, in conjunction with other administrative data sources. The probability survey is designed to produce accurate field crop area and yield information for the province as a whole. However, the accuracy of county and district estimates may suffer, particularly when the level of farming activity in a given area is relatively small. Thus, a measure of caution is advised when using sub-provincial estimates.",,,,,
,,,, , 
Reference: OMAFRA calculations adapted from Statistics Canada,,,, , 
,,,, , 
,,,, , 
,,,, , 
,,,, , 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
 ,,,,,
