"Gross farm receipts and total operating expenses, classified by gross farm receipts distribution, Ontario (Province, CAR, CD, CCS), 2011",,,,,,,,,,,
"Source: 2011, Census of Agriculture, Statistics Canada",,,,,,,,,,,
,,,,,,,,,,,
Province - Code,Census Agricultural Region (CAR) - Code,Census Division (CD) - Code,Census Consolidated Subdivision (CCS) - Code,Geographic identification,Distribution: Total gross farm receipts (excluding sales of forest products),Total gross farm receipts (excluding sales of forest products) in the calendar year prior to the census or for the last complete accounting (fiscal) year prior to the census - Farms reporting,Total gross farm receipts (excluding sales of forest products) in the calendar year prior to the census or for the last complete accounting (fiscal) year prior to the census - Amount $ *,Total farm business operating expenses in the calendar year prior to the census or for the last complete accounting (fiscal) year prior to the census - Amount $ **,Average Net Operating Income per farm,Net Operating Income per Total dollar of Gross Farm Receipts,Operating Expenses as a percentage of Total Gross Farm Receipts
35,0,0,0,Ontario,All farms,"51,950","11,890,835,395","9,965,905,445","37,054",0.16,84%
35,1,0,0,Southern Ontario Region,All farms,"17,094","5,255,427,378","4,425,071,111","48,576",0.16,84%
35,2,0,0,Western Ontario Region,All farms,"16,771","4,138,798,575","3,445,773,433","41,323",0.17,83%
35,3,0,0,Central Ontario Region,All farms,"7,817","1,075,655,396","937,634,362","17,657",0.13,87%
35,4,0,0,Eastern Ontario Region,All farms,"8,007","1,239,977,140","1,000,901,392","29,858",0.19,81%
35,5,0,0,Northern Ontario Region,All farms,"2,261","180,976,906","156,525,147","10,815",0.14,86%
,,,,,,,,,,,
   ..    not available for a specific reference period,,,,,,,,,,,
   x    suppressed to meet the confidentiality requirements of the Statistics Act,,,,,,,,,,,
   0    true zero or a value rounded to zero,,,,,,,,,,,
,,,,,,,,,,,
* gross farm receipts is based on income tax filings and thus generally does not include changes in inventory or accounts receivable,,,,,,,,,,,
"** total operating expenses is based on income tax filings but excludes capital cost allowance, and mandatory and optional inventory adjustments and thus generally doenst include changes in accounts payable",,,,,,,,,,,
